Artist,Location,lat,lon
Julius Fučík,Czechia,49.7439047,15.3381061
Hoku,United States,39.7837304,-100.445882
Skinny Days,Canada,61.0666922,-107.991707
CeeLo Green,United States,39.7837304,-100.445882
Mike Williams,United States,39.7837304,-100.445882
Robin de Jesus,Brazil,-10.3333333,-53.2
cosmosy,Japan,36.5748441,139.2394179
Dan Salvato,United States,39.7837304,-100.445882
SEATBELTS,United Kingdom,54.7023545,-3.2765753
Eric Heron,United Kingdom,54.7023545,-3.2765753
Run The Jewels,United States,39.7837304,-100.445882
Sophiaaaahjkl;8901,Long Beach,33.7690164,-118.191604
Eddie Vedder,Seattle,47.6038321,-122.330062
Skittish,Saint Paul,44.9497487,-93.0931028
DAMONA,Bayern,48.9467562,11.4038717
TZUYU,South Korea,36.638392,127.6961188
TEAR KIM,United Kingdom,54.7023545,-3.2765753
Naomi Jane,United Kingdom,54.7023545,-3.2765753
ML Buch,Germany,51.1638175,10.4478313
Alexandra Shipp,Germany,51.1638175,10.4478313
We Are The Night,Seoul,37.5666791,126.9782914
PENOMECO,South Korea,36.638392,127.6961188
OH MY GIRL,South Korea,36.638392,127.6961188
Maston,Los Angeles,34.0536909,-118.242766
Jacqui,United States,39.7837304,-100.445882
CV Vision,Bayreuth,49.9446345,11.5743543
Doah's Daydream,South Korea,36.638392,127.6961188
幸儿ECHASL,Hong Kong,22.2792968,114.1628907
Eyes Of The Tigers,United Kingdom,54.7023545,-3.2765753
SUPER JUNIOR,South Korea,36.638392,127.6961188
SHINee,South Korea,36.638392,127.6961188
Jorge Aguilar II,Mexico,23.6585116,-102.0077097
Princ,Serbia,44.0243229,21.0765743
Rita Payés,Catalunya,41.8523094,1.5745043
Van Morrison,Northern Ireland,54.5859836,-6.9591554
Looking Glass,United States,39.7837304,-100.445882
REYKO,United Kingdom,54.7023545,-3.2765753
Guitarricadelafuente,Spain,39.3260685,-4.8379791
Pia Paez,Argentina,-34.9964963,-64.9672817
SUN SILVA,United States,39.7837304,-100.445882
Maestro Espada,Murcia,37.9923795,-1.1305431
Gabry Ponte,Italy,42.6384261,12.674297
Ticon,Malmö,55.6052931,13.0001566
Orion,Denmark,55.670249,10.3333283
Nino & Esco,United States,39.7837304,-100.445882
Jay Wheeler,United States,39.7837304,-100.445882
PARG,Armenia,40.7696272,44.6736646
Menudo,Puerto Rico,18.2247706,-66.4858295
Emmanuel,Australia,-24.7761086,134.755
Hannah V,United States,39.7837304,-100.445882
Marcos Valle,Brazil,-10.3333333,-53.2
Theo Evan,Japan,36.5748441,139.2394179
Mamagama,Azerbaijan,40.3936294,47.7872508
Phemiec,Manitoba,55.001251,-97.001038
Orange Caramel,South Korea,36.638392,127.6961188
PSY,South Korea,36.638392,127.6961188
JEON SOMI,South Korea,36.638392,127.6961188
Peter & Emiil,Austria,47.59397,14.12456
GMc,Australia,-24.7761086,134.755
Morgan Sulele,Norway,61.1529386,8.7876653
Vidar Villa,Brazil,-10.3333333,-53.2
Tribbs,Poland,52.215933,19.134422
Acoustic Sunsets,United Kingdom,54.7023545,-3.2765753
Denzel Curry,United States,39.7837304,-100.445882
Selli Paper,United Kingdom,54.7023545,-3.2765753
Paris Bryant,United Kingdom,54.7023545,-3.2765753
CLMD,Los Angeles,34.0536909,-118.242766
Mark Keali'i Ho'omalu,United Kingdom,54.7023545,-3.2765753
Alok,Brazil,-10.3333333,-53.2
Yolanda Be Cool,Australia,-24.7761086,134.755
Malou Prytz,Sweden,59.6749712,14.5208584
Kristian Kristensen,Norway,61.1529386,8.7876653
ZEROBASEONE,South Korea,36.638392,127.6961188
Theo,Detroit,42.3315509,-83.0466403
K-Cept,United Kingdom,54.7023545,-3.2765753
Sofie Birch,Copenhagen,55.6867243,12.5700724
Karen Olivo,United States,39.7837304,-100.445882
Mandy Gonzalez,Germany,51.1638175,10.4478313
bliss3three,London,51.5074456,-0.1277653
PERMSKY KRAY,Smolensk,54.7814057,32.0461261
James Beeny & Gina Georgio,Germany,51.1638175,10.4478313
Cottonwood Firing Squad,California,36.7014631,-118.755997
The Cast Of Journey To Bethlehem,United Kingdom,54.7023545,-3.2765753
Mallory Bechtel,United States,39.7837304,-100.445882
George MacKay,United Kingdom,54.7023545,-3.2765753
Justin Rayna,United States,39.7837304,-100.445882
Admiral P,United States,39.7837304,-100.445882
Coals,Poland,52.215933,19.134422
