Artist,Location,lat,lon
The Carters,United Kingdom,54.7023545,-3.2765753
DJ Taj,United States,39.7837304,-100.445882
Che Ecru,United States,39.7837304,-100.445882
Isabel LaRosa,United States,39.7837304,-100.445882
Ochman,Poland,52.215933,19.134422
Faustyna Maciejczuk,Poland,52.215933,19.134422
Anastazja Maciąg,Warsaw,52.2333742,21.0711489
SKUBAS,Poland,52.215933,19.134422
IGNACY,Poland,52.215933,19.134422
Piotr Odoszewski,Poland,52.215933,19.134422
Raro,Japan,36.5748441,139.2394179
Dwa Sławy,Poland,52.215933,19.134422
Dawid Tyszkowski,Poland,52.215933,19.134422
NEIKED,Sweden,59.6749712,14.5208584
Marc E. Bassy,United States,39.7837304,-100.445882
Zeph,Maryland,39.5162401,-76.9382069
Noah Kahan,United States,39.7837304,-100.445882
Mallrat,Australia,-24.7761086,134.755
Tommy Lefroy,United States,39.7837304,-100.445882
Gatlin,United States,39.7837304,-100.445882
Matilda Mann,United Kingdom,54.7023545,-3.2765753
beabadoobee,England,52.5310214,-1.2649062
Maya Manuela,Germany,51.1638175,10.4478313
Daisy Jones,United States,39.7837304,-100.445882
Wasia Project,United Kingdom,54.7023545,-3.2765753
Bess Atwell,Brighton,50.8214626,-0.1400561
Alfie Jukes,United Kingdom,54.7023545,-3.2765753
Savannah Conley,United States,39.7837304,-100.445882
Keaton Henson,United Kingdom,54.7023545,-3.2765753
Jude York,Germany,51.1638175,10.4478313
Laufey,Iceland,64.9841821,-18.1059013
CKay,Nigeria,9.6000359,7.9999721
Rob $tone,Australia,-24.7761086,134.755
BØRNS,United States,39.7837304,-100.445882
KALEO,Iceland,64.9841821,-18.1059013
G Flip,Germany,51.1638175,10.4478313
XG,France,46.603354,1.8883335
The Japanese House,United Kingdom,54.7023545,-3.2765753
Dr. Alban,Sweden,59.6749712,14.5208584
Fools Garden,Germany,51.1638175,10.4478313
Alice Cooper,United States,39.7837304,-100.445882
Jung Kook,South Korea,36.638392,127.6961188
Kevin George,United Kingdom,54.7023545,-3.2765753
KAROL G,Colombia,4.099917,-72.9088133
Justine Skye,Brooklyn,40.6526006,-73.9497211
Crunkz,Köln,50.938361,6.959974
Of Monsters and Men,Iceland,64.9841821,-18.1059013
The Lumineers,United Kingdom,54.7023545,-3.2765753
NBSPLV,Russia,64.6863136,97.7453061
ivri,New York,40.7127281,-74.0060152
Loud Luxury,Canada,61.0666922,-107.991707
2Scratch,Bremen,53.0758196,8.8071646
NewJeans,South Korea,36.638392,127.6961188
ENHYPEN,South Korea,36.638392,127.6961188
BLACKPINK,South Korea,36.638392,127.6961188
cassö,United Kingdom,54.7023545,-3.2765753
Kenya Grace,United Kingdom,54.7023545,-3.2765753
Suki Waterhouse,United Kingdom,54.7023545,-3.2765753
Lizzy McAlpine,Ireland,52.865196,-7.9794599
Peggy Gou,Berlin,52.5173885,13.3951309
New West,United Kingdom,54.7023545,-3.2765753
Niccolò Paganini,Italy,42.6384261,12.674297
Melody Studio,Japan,36.5748441,139.2394179
Blagoje Bersa,Croatia,45.3658443,15.6575209
Erik Satie,France,46.603354,1.8883335
Antonio Vivaldi,Italy,42.6384261,12.674297
Johann Sebastian Bach,Germany,51.1638175,10.4478313
Johannes Brahms,Germany,51.1638175,10.4478313
Polska Wersja,Poland,52.215933,19.134422
juju<3,Japan,36.5748441,139.2394179
Joseph Haydn,Austria,47.59397,14.12456
Hans Zimmer,United States,39.7837304,-100.445882
John Powell,United States,39.7837304,-100.445882
Yehezkel Raz,Israel,30.8124247,34.8594762
Fabrizio Paterlini,Italy,42.6384261,12.674297
Mark Isham,United States,39.7837304,-100.445882
Antonio Pinto,Italy,42.6384261,12.674297
Howard Shore,Canada,61.0666922,-107.991707
Roque Baños,Spain,39.3260685,-4.8379791
Max Richter,United Kingdom,54.7023545,-3.2765753
Jóhann Jóhannsson,Germany,51.1638175,10.4478313
James Heather,Germany,51.1638175,10.4478313
Fernando Velázquez,Spain,39.3260685,-4.8379791
Austin Farwell,California,36.7014631,-118.755997
Jordan Seigel,Los Angeles,34.0536909,-118.242766
James Quinn,Germany,51.1638175,10.4478313
Peter Sandberg,Austria,47.59397,14.12456
Øneheart,Kirsanov,52.654755,42.72496
Jamie Duffy,United Kingdom,54.7023545,-3.2765753
Justin Hurwitz,United States,39.7837304,-100.445882
Joep Beving,Netherlands,52.2434979,5.6343227
pandora.,Sweden,59.6749712,14.5208584
Carlos Rafael Rivera,United States,39.7837304,-100.445882
Dario Marianelli,Italy,42.6384261,12.674297
JENNIE,South Korea,36.638392,127.6961188
Jean Sibelius,Finland,63.2467777,25.9209164
Markus Porsklev,Germany,51.1638175,10.4478313
Soap&Skin,Austria,47.59397,14.12456
L.U.C.,Germany,51.1638175,10.4478313
Poparzeni Kawą Trzy,Poland,52.215933,19.134422
Hurt,United States,39.7837304,-100.445882
Jeremy Zuckerman,United States,39.7837304,-100.445882
ELIJAH AKACHE,London,51.5074456,-0.1277653
Amine Bouhafa,Tunisia,33.8439408,9.400138
Mattia Vlad Morleo,Italy,42.6384261,12.674297
Harry Mousnier,United States,39.7837304,-100.445882
Éric Serra,France,46.603354,1.8883335
Indila,France,46.603354,1.8883335
Thomas Bergersen,Norway,61.1529386,8.7876653
Yann Tiersen,France,46.603354,1.8883335
Bear McCreary,United States,39.7837304,-100.445882
Alexandre Desplat,France,46.603354,1.8883335
Amy Macdonald,United Kingdom,54.7023545,-3.2765753
Klaus Badelt,United States,39.7837304,-100.445882
Rachel Zegler,United States,39.7837304,-100.445882
Flatland Cavalry,United States,39.7837304,-100.445882
Sierra Ferrell,United States,39.7837304,-100.445882
Molly Tuttle,United States,39.7837304,-100.445882
Billy Strings,United States,39.7837304,-100.445882
The Chalkeaters,United Kingdom,54.7023545,-3.2765753
Mortal,United Kingdom,54.7023545,-3.2765753
CeeLo Green,United States,39.7837304,-100.445882
Mykola Dmytrovych Leontovych,United States,39.7837304,-100.445882
Donny Hathaway,United States,39.7837304,-100.445882
Idina Menzel,United States,39.7837304,-100.445882
Czerwone Gitary,Poland,52.215933,19.134422
De Su,United Kingdom,54.7023545,-3.2765753
